Name,Longitude,Latitude,key_model
University at Buffalo,43.0008093,-78.7889697,43.0008093 + -78.7889697
The University of Texas at Austin,30.2849185,-97.7340567,30.2849185 + -97.7340567
Stanford University,37.4274745,-122.169719,37.4274745 + -122.169719
University of Southern California,34.0223519,-118.285117,34.0223519 + -118.285117
University of Washington,47.6553351,-122.3035199,47.6553351 + -122.3035199
Georgia Institute of Technology,33.7756178,-84.396285,33.7756178 + -84.396285
"Indian Institute of Technology, Kanpur",26.5123388,80.2329,26.5123388 + 80.2329
Carnegie Mellon University,40.4428081,-79.9430128,40.4428081 + -79.9430128
Georgia Institute of Technology,33.7756178,-84.396285,33.7756178 + -84.396285
University of Central Missouri,38.7580823,-93.7383724,38.7580823 + -93.7383724
Pace University,40.7111197,-74.0048567,40.7111197 + -74.0048567
Utah State University,41.745161,-111.8097425,41.745161 + -111.8097425
Columbia University in the City of New York,40.8075355,-73.9625727,40.8075355 + -73.9625727
University of Central Florida,28.6024274,-81.2000599,28.6024274 + -81.2000599
"University of California, San Diego",32.8800604,-117.2340135,32.8800604 + -117.2340135
North Carolina State University,35.7846633,-78.6820946,35.7846633 + -78.6820946
Western Governors University,40.6848059,-111.8698679,40.6848059 + -111.8698679
Arizona State University,33.4242399,-111.9280527,33.4242399 + -111.9280527
University of Oxford,51.7548164,-1.2543668,51.7548164 + -1.2543668
The University of Texas at Austin,30.2849185,-97.7340567,30.2849185 + -97.7340567
New York University,40.7295134,-73.9964609,40.7295134 + -73.9964609
"University of California, Santa Barbara",34.4139629,-119.848947,34.4139629 + -119.848947
New Jersey Institute of Technology,40.7423345,-74.1793409,40.7423345 + -74.1793409
Northeastern University,42.3398067,-71.0891717,42.3398067 + -71.0891717
The University of Texas at Arlington,32.7298718,-97.1140116,32.7298718 + -97.1140116
The University of Texas at Dallas,32.9857619,-96.7500993,32.9857619 + -96.7500993
The University of Texas at Dallas,32.9857619,-96.7500993,32.9857619 + -96.7500993
San Jose State University,37.3351874,-121.8810715,37.3351874 + -121.8810715
San Jose State University,37.3351874,-121.8810715,37.3351874 + -121.8810715
University of South Florida,28.0587031,-82.4138539,28.0587031 + -82.4138539
Rutgers University,40.5008186,-74.4473991,40.5008186 + -74.4473991
Texas A&M University-Kingsville,27.5251036,-97.8824821,27.5251036 + -97.8824821
Carnegie Mellon University,40.4428081,-79.9430128,40.4428081 + -79.9430128
University of Illinois Springfield,39.7290207,-89.617654,39.7290207 + -89.617654
Seattle University,47.6089484,-122.3174513,47.6089484 + -122.3174513
California State University-Fullerton,33.8829226,-117.8869261,33.8829226 + -117.8869261
California State University-Fullerton,33.8829226,-117.8869261,33.8829226 + -117.8869261
The University of Texas at Dallas,32.9857619,-96.7500993,32.9857619 + -96.7500993
San Jose State University,37.3351874,-121.8810715,37.3351874 + -121.8810715
Syracuse University College of Engineering and Computer Science,43.0376551,-76.1327183,43.0376551 + -76.1327183
Santa Clara University,37.3496418,-121.9389875,37.3496418 + -121.9389875
Ira A. Fulton Schools of Engineering at Arizona State University,33.4236183,-111.9397138,33.4236183 + -111.9397138
Northeastern University,42.3398067,-71.0891717,42.3398067 + -71.0891717
Texas A&M University-Commerce,33.2406645,-95.9104149,33.2406645 + -95.9104149
University of Illinois Springfield,39.7290207,-89.617654,39.7290207 + -89.617654
University of Illinois Springfield,39.7290207,-89.617654,39.7290207 + -89.617654
Oklahoma Christian University,35.6124423,-97.4693545,35.6124423 + -97.4693545
Harvard University,42.3770029,-71.1166601,42.3770029 + -71.1166601
Georgia Institute of Technology,33.7756178,-84.396285,33.7756178 + -84.396285
University of Massachusetts Lowell,42.6552587,-71.3247164,42.6552587 + -71.3247164
University of South Florida,28.0587031,-82.4138539,28.0587031 + -82.4138539
Columbia University in the City of New York,40.8075355,-73.9625727,40.8075355 + -73.9625727
University of Southern California,34.0223519,-118.285117,34.0223519 + -118.285117
George Mason University,38.8314936,-77.3114889,38.8314936 + -77.3114889
Arizona State University - W. P. Carey School of Business,33.4166016,-111.9341819,33.4166016 + -111.9341819
San Jose State University,37.3351874,-121.8810715,37.3351874 + -121.8810715
University of Massachusetts Boston,42.3149047,-71.0375853,42.3149047 + -71.0375853
University of Houston-Clear Lake,29.5806694,-95.0990951,29.5806694 + -95.0990951
Panjab University,28.1486516,-81.8480664,28.1486516 + -81.8480664
"Pandit Deendayal Petroleum University, Gandhi Nagar",23.1563332,72.6655211,23.1563332 + 72.6655211
The University of Alabama in Huntsville,34.7251471,-86.639783,34.7251471 + -86.639783
SCT INSTITUTE OF TECHNOLOGY,12.9772513,77.6797557,12.9772513 + 77.6797557
Berhampur University,19.2979079,84.8782246,19.2979079 + 84.8782246
The University of Alabama in Huntsville,34.7251471,-86.639783,34.7251471 + -86.639783
University of Houston-Clear Lake,29.5806694,-95.0990951,29.5806694 + -95.0990951
Univesity of Houston - Clear Lake,29.5806694,-95.0990951,29.5806694 + -95.0990951
University of Houston-Clear Lake,29.5806694,-95.0990951,29.5806694 + -95.0990951
University of Houston,29.7199489,-95.3422334,29.7199489 + -95.3422334
University of Houston,29.7199489,-95.3422334,29.7199489 + -95.3422334
Birla Institute of Technology and Science,28.3588163,75.5880123,28.3588163 + 75.5880123
Northeastern University,42.3398067,-71.0891717,42.3398067 + -71.0891717
San Jose State University,37.3351874,-121.8810715,37.3351874 + -121.8810715
National University of Computer and Emerging Sciences,33.6565377,73.0153768,33.6565377 + 73.0153768
IIT Roorkee,29.8648599,77.8965787,29.8648599 + 77.8965787
Arizona State University,33.4242399,-111.9280527,33.4242399 + -111.9280527
Northeastern University,42.3398067,-71.0891717,42.3398067 + -71.0891717
The George Washington University,38.8997145,-77.0485992,38.8997145 + -77.0485992
Carnegie Mellon University,40.4428081,-79.9430128,40.4428081 + -79.9430128
Columbia University in the City of New York,40.8075355,-73.9625727,40.8075355 + -73.9625727
California State University-Long Beach,33.7838235,-118.1140904,33.7838235 + -118.1140904
University at Buffalo,43.0008093,-78.7889697,43.0008093 + -78.7889697
Columbia University in the City of New York,40.8075355,-73.9625727,40.8075355 + -73.9625727
North Carolina State University,35.7846633,-78.6820946,35.7846633 + -78.6820946
New York University,40.7295134,-73.9964609,40.7295134 + -73.9964609
Binghamton University,42.0893553,-75.9697049,42.0893553 + -75.9697049
New York University,40.7295134,-73.9964609,40.7295134 + -73.9964609
San Jose State University,37.3351874,-121.8810715,37.3351874 + -121.8810715
Syracuse University,43.0391534,-76.1351158,43.0391534 + -76.1351158
The University of Texas at Dallas,32.9857619,-96.7500993,32.9857619 + -96.7500993
Northeastern University,42.3398067,-71.0891717,42.3398067 + -71.0891717
University of Maryland - Robert H. Smith School of Business,38.983057,-76.9470355,38.983057 + -76.9470355
University of Southern California,34.0223519,-118.285117,34.0223519 + -118.285117
San Jose State University,37.3351874,-121.8810715,37.3351874 + -121.8810715
University of Oklahoma,35.2058936,-97.4457137,35.2058936 + -97.4457137
University of Virginia - Darden Graduate School of Business Administration,38.052408,-78.514662,38.052408 + -78.514662
Northeastern University,42.3398067,-71.0891717,42.3398067 + -71.0891717
BITS Pilani,28.3588163,75.5880123,28.3588163 + 75.5880123
Cornell University,42.4534492,-76.4735027,42.4534492 + -76.4735027
University of Florida,29.6436325,-82.3549302,29.6436325 + -82.3549302
University of Illinois Springfield,39.7290207,-89.617654,39.7290207 + -89.617654
"Heritage Institute of technology,Kolkata",22.517282,88.4186638,22.517282 + 88.4186638
San Jose State University,37.3351874,-121.8810715,37.3351874 + -121.8810715
The University of Texas at Dallas,32.9857619,-96.7500993,32.9857619 + -96.7500993
Indiana University Bloomington,39.1784384,-86.5133166,39.1784384 + -86.5133166
San Jose State University,37.3351874,-121.8810715,37.3351874 + -121.8810715
Northeastern University,42.3398067,-71.0891717,42.3398067 + -71.0891717
Stony Brook University,40.9123761,-73.1233889,40.9123761 + -73.1233889
Rochester Institute of Technology,43.0845894,-77.6743445,43.0845894 + -77.6743445
University of Maryland Baltimore County,39.2556759,-76.7109674,39.2556759 + -76.7109674
George Mason University,38.8314936,-77.3114889,38.8314936 + -77.3114889
Southern Methodist University,32.8412178,-96.7845175,32.8412178 + -96.7845175
University of Cincinnati College of Business,39.1351204,-84.5136085,39.1351204 + -84.5136085
George Mason University,38.8314936,-77.3114889,38.8314936 + -77.3114889
University of Southern California,34.0223519,-118.285117,34.0223519 + -118.285117
University of Southern California,34.0223519,-118.285117,34.0223519 + -118.285117
George Mason University,38.8314936,-77.3114889,38.8314936 + -77.3114889
George Mason University,38.8314936,-77.3114889,38.8314936 + -77.3114889
The University of Texas at Dallas,32.9857619,-96.7500993,32.9857619 + -96.7500993
Manipal Institute of Technology,13.3525321,74.7928224,13.3525321 + 74.7928224
Anna University,13.0103297,80.2318155,13.0103297 + 80.2318155
North Carolina State University,35.7846633,-78.6820946,35.7846633 + -78.6820946
University of Colorado at Boulder,40.007581,-105.2659417,40.007581 + -105.2659417
New Jersey Institute of Technology,40.7423345,-74.1793409,40.7423345 + -74.1793409
Stanford University Graduate School of Business,37.4281704,-122.1614915,37.4281704 + -122.1614915
University of New Mexico School of Engineering,35.0843187,-106.6197812,35.0843187 + -106.6197812
New Jersey Institute of Technology,40.7423345,-74.1793409,40.7423345 + -74.1793409
The University of Texas at Dallas,32.9857619,-96.7500993,32.9857619 + -96.7500993
University of Maryland Baltimore County,39.2556759,-76.7109674,39.2556759 + -76.7109674
Purdue University,40.4237054,-86.9211946,40.4237054 + -86.9211946
Indiana University-Purdue University at Indianapolis,39.7738832,-86.1763393,39.7738832 + -86.1763393
Columbia University - Fu Foundation School of Engineering and Applied Science,40.8093798,-73.9599676,40.8093798 + -73.9599676
Visvesvaraya Technological University,15.7777762,74.4634341,15.7777762 + 74.4634341
University of Virginia,38.0335529,-78.5079772,38.0335529 + -78.5079772
Northeastern University,42.3398067,-71.0891717,42.3398067 + -71.0891717
"University of California, Los Angeles",34.068921,-118.4451811,34.068921 + -118.4451811
The University of Texas at El Paso,31.7709368,-106.5046405,31.7709368 + -106.5046405
Binghamton University,42.0893553,-75.9697049,42.0893553 + -75.9697049
Rochester Institute of Technology,43.0845894,-77.6743445,43.0845894 + -77.6743445
University of Southern California,34.0223519,-118.285117,34.0223519 + -118.285117
Pondicherry University,12.0219328,79.8574832,12.0219328 + 79.8574832
San Jose State University,37.3351874,-121.8810715,37.3351874 + -121.8810715
Purdue University,40.4237054,-86.9211946,40.4237054 + -86.9211946
Carnegie Mellon University,40.4428081,-79.9430128,40.4428081 + -79.9430128
Carnegie Mellon University,40.4428081,-79.9430128,40.4428081 + -79.9430128
University of Alabama in Huntsville,34.7251471,-86.639783,34.7251471 + -86.639783
Georgia Institute of Technology,33.7756178,-84.396285,33.7756178 + -84.396285
Duke University,36.0014258,-78.9382286,36.0014258 + -78.9382286
New Jersey Institute of Technology,40.7423345,-74.1793409,40.7423345 + -74.1793409
Stanford University,37.4274745,-122.169719,37.4274745 + -122.169719
The University of Texas at Arlington,32.7298718,-97.1140116,32.7298718 + -97.1140116
Arizona State University,33.4242399,-111.9280527,33.4242399 + -111.9280527
Carnegie Mellon University,40.4428081,-79.9430128,40.4428081 + -79.9430128
Carnegie Mellon University,40.4428081,-79.9430128,40.4428081 + -79.9430128
University of Southern California,34.0223519,-118.285117,34.0223519 + -118.285117
Carnegie Mellon University,40.4428081,-79.9430128,40.4428081 + -79.9430128
Carnegie Mellon University,40.4428081,-79.9430128,40.4428081 + -79.9430128
Stanford University,37.4274745,-122.169719,37.4274745 + -122.169719
Carnegie Mellon University,40.4428081,-79.9430128,40.4428081 + -79.9430128
Carnegie Mellon University,40.4428081,-79.9430128,40.4428081 + -79.9430128
Ira A. Fulton Schools of Engineering at Arizona State University,33.4236183,-111.9397138,33.4236183 + -111.9397138
University of Minnesota - Carlson School of Management,44.970411,-93.244825,44.970411 + -93.244825
Stanford University,37.4274745,-122.169719,37.4274745 + -122.169719
"Indian Institute of Technology, Kanpur",26.5123388,80.2329,26.5123388 + 80.2329
Stony Brook University,40.9123761,-73.1233889,40.9123761 + -73.1233889
The University of Texas at Austin,30.2849185,-97.7340567,30.2849185 + -97.7340567
University of Michigan,42.2780436,-83.7382241,42.2780436 + -83.7382241
The University of Texas at Austin,30.2849185,-97.7340567,30.2849185 + -97.7340567
The University of Texas at Austin,30.2849185,-97.7340567,30.2849185 + -97.7340567
IIIT HYDERABAD,17.4452358,78.3492765,17.4452358 + 78.3492765
NYU Tandon School of Engineering,40.6942036,-73.986579,40.6942036 + -73.986579
Jawaharlal Nehru Technological University,17.4932742,78.3914639,17.4932742 + 78.3914639
