Name,Rank,Longitude,Latitude,key_top200
Louisiana Tech University,202,32.5263753,-92.6481104,32.5263753 + -92.6481104
South Dakota State University,202,44.3189457,-96.783968,44.3189457 + -96.783968
University of Alaska--Fairbanks,202,64.8557566,-147.8335418,64.8557566 + -147.8335418
University of North Carolina--Charlotte,202,35.3070929,-80.735164,35.3070929 + -80.735164
University of North Dakota,202,47.922891,-97.0768014,47.922891 + -97.0768014
University of South Dakota,202,42.7883015,-96.9253381,42.7883015 + -96.9253381
East Carolina University,210,35.6055108,-77.3645653,35.6055108 + -77.3645653
Montana State University,210,45.6673524,-111.0546211,45.6673524 + -111.0546211
Old Dominion University,210,36.8853217,-76.3058786,36.8853217 + -76.3058786
University of Missouri--Kansas City,210,39.0335539,-94.5760259,39.0335539 + -94.5760259
Ashland University,214,40.8619296,-82.323051,40.8619296 + -82.323051
Dallas Baptist University,214,32.7092292,-96.9469709,32.7092292 + -96.9469709
Northern Illinois University,214,41.934233,-88.774069,41.934233 + -88.774069
Nova Southeastern University,214,26.0789364,-80.2462675,26.0789364 + -80.2462675
Southern Illinois University--Carbondale,214,37.7100209,-89.2225941,37.7100209 + -89.2225941
University of Montana,214,46.8600672,-113.9852081,46.8600672 + -113.9852081
Benedictine University,220,41.7783779,-88.0967798,41.7783779 + -88.0967798
California State University--Fresno,220,36.8124451,-119.7457805,36.8124451 + -119.7457805
Gardner-Webb University,220,35.2475249,-81.6706979,35.2475249 + -81.6706979
New Mexico State University,220,32.2787745,-106.7479059,32.2787745 + -106.7479059
Shenandoah University,220,39.1660159,-78.1583388,39.1660159 + -78.1583388
Tennessee Technological University,220,36.175903,-85.5070223,36.175903 + -85.5070223
University of Massachusetts--Boston,220,42.3149047,-71.0375853,42.3149047 + -71.0375853
University of Massachusetts--Dartmouth,220,41.6292932,-71.0061561,41.6292932 + -71.0061561
University of Missouri--St. Louis,220,38.7092401,-90.30828,38.7092401 + -90.30828
University of North Carolina--Greensboro,220,36.0689296,-79.8101975,36.0689296 + -79.8101975
University of Southern Mississippi,220,31.3300115,-89.3340423,31.3300115 + -89.3340423
Utah State University,220,41.745161,-111.8097425,41.745161 + -111.8097425
